ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013618500,4286,337,271,248,298
4013618600,5247,356,223,330,320
4013618700,2982,219,298,184,166
4013618800,4922,493,246,350,345
4013618900,6934,409,514,219,264
4013619000,3061,181,125,93,115
4013619100,3334,302,286,219,195
4013619200,5692,497,445,190,313
4013619300,5282,460,378,376,401
4013619400,5737,416,377,233,499
4013619500,6077,221,469,395,235
4013619600,1877,91,147,147,77
4013619700,4005,221,221,255,147
4013619800,4731,374,443,110,167
4013619900,6397,391,658,379,451
4013723303,106,0,28,28,14
4013723304,5200,187,389,174,304
4013723305,2611,249,271,205,202
4013723306,6413,0,6,14,56
4013723307,2022,90,155,173,184
4013723308,9969,927,635,684,747
4013810000,2949,281,135,135,138
4013810100,6609,292,321,350,556
4013810200,3905,332,388,225,267
4013810300,6097,288,384,488,289
4013810400,4891,395,265,277,279
4013810500,4557,273,151,353,194
4013810600,6635,354,529,364,493
4013810700,7068,378,379,683,396
4013810800,4330,238,234,276,191
4013810900,6128,162,256,768,419
4013811000,2898,191,195,229,189
4013811100,2977,229,101,167,158
4013811200,2871,292,133,87,71
4013811300,3045,257,202,213,168
4013811400,5067,267,272,425,306
4013811500,2606,145,214,251,223
4013811600,4451,230,319,343,257
4013811700,4438,335,251,206,254
4013811800,2203,130,177,183,139
4013811900,5970,309,440,303,510
4013812000,4989,364,432,393,237
4013812100,6662,554,484,288,503
4013812200,7472,482,575,557,573
4013812300,4909,342,451,509,289
4013812400,5207,445,570,534,208
4013812500,2246,238,276,181,160
4013812600,5273,171,210,435,397
4013812700,6544,747,384,381,385
